x_axis,y_axis,is_anomaly
0,944.73384,0
1,447.99242,0
2,183.66064,0
3,-409.97083,0
4,-632.86443,0
5,-717.23343,0
6,-873.85936,0
7,-977.7101,0
8,-1171.4156,0
9,-1233.0286,0
10,-1453.2895,0
11,-1423.3376,0
12,-1142.7026,0
13,-1002.623,0
14,-816.22455,0
15,-567.34377,0
16,-676.14243,0
17,-685.36905,0
18,-249.37824,0
19,227.28223,0
20,530.25277,0
21,1165.6767,0
22,1394.8738,0
23,840.03921,0
24,533.97785,0
25,467.50085,0
26,188.65184,0
27,-114.44172,0
28,-526.45649,0
29,-877.72654,0
30,-1056.4507,0
31,-1090.6505,0
32,-1214.9836,0
33,-1299.5623,0
34,-1568.4397,0
35,-1520.2278,0
36,-763.28943,0
37,-292.01288,0
38,-242.52252,0
39,-283.94294,0
40,-152.07022,0
41,326.40381,0
42,518.25091,0
43,627.77423,0
44,1299.183,0
45,1945.743,0
46,2189.2748,0
47,1537.0806,0
48,854.23581,0
49,370.80102,0
50,270.94645,0
51,-131.93944,0
52,-610.33017,0
53,-1024.7138,0
54,-1412.4641,0
55,-1516.3672,0
56,-1403.7005,0
57,-1389.0327,0
58,-1429.9348,0
59,-1315.5483,0
60,-1216.569,0
61,-1150.1969,0
62,-1131.4009,0
63,-1205.2168,0
64,-1143.0801,0
65,-782.83471,0
66,-401.56897,0
67,-132.21028,0
68,496.14618,0
69,1286.4756,0
70,1003.97,0
71,353.79804,0
72,-234.19709,0
73,-417.65182,0
74,-705.90091,0
75,-1008.6906,0
76,-1258.0797,0
77,-1540.5376,0
78,-1590.7298,0
79,-1727.1384,0
80,-1765.7182,0
81,-1437.3079,0
82,-1297.426,0
83,-1305.5282,0
84,-1349.1762,0
85,-1130.5256,0
86,-1366.2342,0
87,-931.04305,0
88,-508.89491,0
89,107.56352,0
90,702.19301,0
91,1156.9427,0
92,1616.2669,0
93,1447.7313,0
94,958.13867,0
95,750.27771,0
96,442.69758,0
97,96.476497,0
98,-348.71561,0
99,-825.06352,0
100,-1201.2212,0
101,-1211.0358,0
102,-1628.1085,0
103,-1819.2409,0
104,-1394.3886,0
105,-1399.6488,0
106,-1417.0327,0
107,-1515.4989,0
108,-1620.4515,0
109,-1688.4489,0
110,-1540.9909,0
111,-1139.0537,0
112,-418.34212,0
113,185.25038,0
114,666.95076,0
115,967.29534,0
116,1510.0669,0
117,1074.1765,0
118,644.22957,0
119,-16.120206,0
120,-507.70794,0
121,-709.88436,0
122,-697.25253,0
123,-969.26084,0
124,-1066.3839,0
125,-1135.6383,0
126,-1345.9411,0
127,-1409.8434,0
128,-1316.3876,0
129,-1235.6143,0
130,-1230.0311,0
131,-1365.8907,0
132,-1341.1441,0
133,-1188.3057,0
134,-1146.5124,0
135,-876.26808,0
136,-357.59335,0
137,106.23786,0
138,647.14364,0
139,1026.382,0
140,1333.6352,0
141,1194.5314,0
142,716.59591,0
143,559.36824,0
144,142.87105,0
145,-269.32265,0
146,-561.37656,0
147,-869.96343,0
148,-1192.3779,0
149,-1414.9459,0
150,-1417.2198,0
151,-1326.0709,0
152,-1124.9881,0
153,-1047.6075,0
154,-972.12795,0
155,-990.23082,0
156,-1209.1309,0
157,-1446.8198,0
158,-1030.1543,0
159,-534.31177,0
160,107.5819,0
161,557.06566,0
162,1167.0605,0
163,1478.2908,0
164,1222.4285,0
165,792.38152,0
166,372.67017,0
167,32.302158,0
168,-349.18696,0
169,-658.30152,0
170,-814.49343,0
171,-1083.9437,0
172,-1187.6876,0
173,-1119.688,0
174,-1344.7267,0
175,-1324.7559,0
176,-1192.6333,0
177,-1081.1753,0
178,-1192.0701,0
179,-1176.2587,0
180,-1200.4114,0
181,-1060.3929,0
182,-630.29369,0
183,-113.28487,0
184,396.49882,0
185,929.59479,0
186,1524.2815,0
187,1587.8139,0
188,782.03119,0
189,549.02686,0
190,325.02907,0
191,-15.052751,0
192,-19.110728,0
193,-237.69944,0
194,-811.96242,0
